PCI-e Riser,8.99,1
PCI-e Riser,8.99,2
PCI-e Riser,8.99,3
PCI-e Riser,0.00,4
PCI-e Riser,0.00,5
120GB SSD,39.45,1
Fan Hub,0.00,1
Mining Frame,49.95,1
6 GPU Mining Frame,0.00,2
GTX 970,100.00,1
GTX 970,0.00,2
GTX 1060 6GB,289.99,1
GTX 1070,0.00,1
